你和山田君处的怎么样了？|山田君とどうしたの？
但是，我想要好好告诉她。|でも、俺はちゃんと伝えておきたいと思った。
因为经过一段时间后，说这话可能会感觉很奇怪。|多分、時間がたったら、言うのもおかしくなるから。
嗯，什么|う、うん、なに
星奏啊——|星奏って──
星奏真是漂亮呢|星奏ってきれいだったっ
诶，诶诶诶。怎么了突然|え、えええ。なに、いきなり
非常的白，非常的光滑……而且而且——|すごい真っ白で、すごいすべすべしてて……それにそれに──
就像棉花糖一样！|ま、マシュマロみたいだった！
啊啊啊啊啊啊啊|あああああああ
谢谢……|あり、がとう……
因为最近……那个，我一直在努力……|最近は……そのがんばってたから……
诶|え
因为和洸太郎君交往后，我用了以前没有用过的有点贵的香皂……|洸太郎君と付き合うようになってから、前まで使わないようなちょっと高いソープ使ったり……してたから
啊……|ぁ……
所以很高兴。诶嘿嘿|だからうれしい。えへへ
啊哈哈|あはは
诶嘿嘿|えへへ
哎，不能再这么悠闲了，要迟到了|って、まったりしてる場合じゃないね。遅刻しちゃう
是呢|そ、そうだね
晴朗的天气，美味的早饭，还有星奏。这种组合让人忘掉了快要迟到的事，不知不觉悠闲起来。|良いお天気。美味しい朝食。星奏、という組み合わせに、遅刻気味なのを忘れてついつい、のんびりしてしまった。
快点吧|急ごう
星奏本要急忙吃完剩下的饭，却突然停住动作皱起眉毛。|慌てて残りのご飯をかきこもうとするが、ぴたりと動きを止めて、星奏は顔をしかめた。
唔……|う……
星奏皱着眉放下了碗。|と、星奏が顔をしかめてお椀を置いた。
肚子好撑|おなかいっぱい
怎么了？|なにそれ
想起来了。我在家吃过饭了|思い出した。私、家で食べてきたんだ
那为什么又做了自己的份呢？|なんで自分の分まで作ってるの？
我顺势就！|ノリで！
这样啊|そうなんだ
我出门了|いってきまーす
我出门了|いってきます
星奏莫名地守礼仪，还向玄关鞠了一躬。|妙に律儀に、玄関に向かってお辞儀をする星奏。
比平时晚了30分钟以上的出门。|いつもより３０分以上遅い出発だ。
这……要迟到了啊|これは……遅刻しそうだ
偶尔迟到一两次倒是没什么，可两个人一起满不在乎地迟到，这就是问题了。|まぁ遅刻の一回や二回、いいんだけど、問題は二人してのこのこと遅れて現れることだ。
想必会被嘲笑吧。|冷やかされるんだろうなぁ。
没办法了，用自行车吧|しょうがない、自転車を出そう
有自行车吗？|自転車あるの？
有啊，虽然只有一台|あるよ、一台だけだけどね
我快要迟到的时候就会用自行车。不过没有登记过，实际上是不行的|遅刻しそうなときは、自転車で行くんだ。登録してないから、本当はダメなんだけどね
那你就上来吧|じゃぁ乗って
嗯|う、うん
星奏试图在我身后乘上自行车。|俺の後ろで自転車にまたがろうとした星奏だけど、
这车没有坐的地方啊|これ座るところないんだけど
用脚踩在那里|そこに足をひっかけるんだよ
那里，是指这个小的凸起吗|そこって、この小さなでっぱり？
对对|そうそう
这可不平衡啊……|これは、アンバランスだね……
的确，对于女生来说也许有点困难。|確かに女の子には、少し難しいかも知れないな。
哟……|よ……
哟|よ
她摇摇晃晃的，把手撑在我的背上总算找到了平衡。|よろめきながらも、俺の背中に手をかけてなんとかバランスをとっている。
唔唔唔，差不多，可行吧|ううう。なんとか、いけそうかな
那就出发吧|じゃぁ出発
哇啊啊啊啊啊啊|ふああああああ
星奏一下子从背后紧紧抱住了我。|ぎゅっと、星奏が俺の背中にしがみつく。
当然身体也紧贴着，隔着背，她的形状鲜明地浮现在了我的脑海里。|もちろん、身体は密着し、背中ごしに星奏のあり方を、俺は生々しく実感する。
这是……|これは……
不可抗力！|フカコウリョク
诶，什么？？？|え、なに？？？
没什么，抓紧哦|なんでもない、しっかりつかまっておけよ
唔，嗯|う、うん
呀……|ぎゅぅ……
啊啊……|あぁ……
不可抗力！|フカコウリョク
哇啊，感觉和以往看到的景色不同。|わぁぁ。なんか、いつもと景色が違う
应该是吧|そうだろうね
星奏已经掌握了以安稳的姿势站在自行车上的诀窍，在背后发出了心情舒畅的声音。|こつをつかんで大分安定した格好で自転車に乗る星奏が、背後で気持ちよさそうな声をあげる。
黎明时，似乎下了点小雨。|明け方、少し雨が降ったらしい。
在稍稍潮湿的空气中沐浴着早晨凉爽的阳光骑车，确实令人精神爽快。|少し湿った空気の中、朝の涼しい日射しを浴びて走るのは、確かに爽快だった。
～～～～～～♪|～～～～～～♪
星奏已经完全习惯了站姿，开始哼起了歌。|すっかり慣れた星奏は、鼻唄まで歌い出した。
不抓紧很危险哦|しっかりつかまってないと危ないぞ
嗯？没事没事|ん？大丈夫大丈夫
]星奏|星奏
……|……
嘿。|えい。
呜啊|うわっ
柔软。|ふにゅ。
嘿。|えい。
呀|ひゃん
柔软。|ふにゅ。
喂喂，好吓人的啦|ちょちょ、怖いよっ
抱歉抱歉|ごめんごめん
你刚刚……是故意的吧？|今……わざとやってなかった？
没啊真没|やってないやってない
嘿。|えい。
哇啊啊啊啊啊啊|うわああああああ
柔软。|ふにゅ。
真是的，果然是故意的。为什么要这样啊|もう、やっぱりわざとだね。なんでそういうことするかなぁ
为什么，那当然是为了……|なんでって、そりゃぁ……
……|……
喂，你脸好红啊|ちょ、なんか顔が赤いよ
诶，你应该看不到脸的吧|え、顔なんて見えないだろ
因为你耳朵变得通红了啊|耳が真っ赤になってるのっ
在这么心情舒畅的骑行途中你在瞎想什么啦|何を考えてるの。こんな気持ちの良いサイクリングの途中に
没，没什么啊？|な、なにも？
禁止下流的事。别这样了哦，真的很吓人啊|いやらしいのは、禁止。止めてよ。本当に、怖いんだから
知道了知道了|分かった分かった
在这之后我都很老实的骑着自行车。|その後はおとなしく、自転車を走らせていく。
恐怕迟到是难免的了，不过感觉已经都无所谓了。|おそらく遅刻は変わらないだろうけど、まぁいいや、という気分だった。
骑到下坡，不用踩踏板自行车也能高速前进。|坂道にさしかかり、こがなくても自転車は、すーっと進んで行く。
（坐在你的自行车后～）|（君を自転車の後ろにのせて～）
不知何时听过的青春旋律在脑中响起。|いつか聞いた青春メロディが、頭にひびきだす。
温和的天气。|おだやかな天気。
可能因为现在是不早不晚的时间，路上没有其他行人。|半端な時間のせいか、道を行く人は他にいない。
穿行在长满青叶的林荫树下，有一种夏天正在慢慢接近的感觉。|青い葉をしげらせた街路樹の下をくぐって進んでいると、夏が、どんどん近づいているような気がした。
慢慢地慢慢地，缓缓前行。|ゆっくりゆっくり、走って行く。
慢慢地……|ゆっくり……
不慢啊，车速相当快了啊。|ゆっくりじゃないな。けっこうスピード出てる。
等等，但是从刚才我就一直在刹车……|いや、でもさっきから、ブレーキきかせ……
（全力握紧刹车……）|（ブレーキ、いっぱい握りしめて……）
……|……
……|……
那个。速度是不是有点快啊？|あの。ちょっとスピードはやくない？
……|……
刹车，完全坏掉了|ブレーキが、ぶっこわれた
啥？|は
没，没事。过一会儿就会自己停了的|ま、まぁそのうちに、自然ととまるよ
但是这一段是一直持续的下坡呀|でも坂道、ずっと続いているよ
诶|え
仔细一看，毫无障碍的笔直下坡无遮无拦地向着大海延伸过去，画出了一道缓和的曲线。|見れば隘路のないまっすぐな坂道は、海に向けてゆるやかなカーブを描きながらも、途切れることなく伸びていた。
